Phi,NSS,ChiSq,p_av,p_sd,p_sk,p_ku,H_av,H_sd,H_sk,H_ku,S,si_av,si_sd,si_sk,si_ku
9.71e-02,8.7371e-01,50.6,1.68046357615894,0.77130820129734,1.65224091623307,3.72843650235781,0.113064166063777,0.14191404373592,1.64680474819782,3.49955937210035,312,68.290756302521,51.2826849930879,1.32311737298665,1.90041155660984
1.31e-01,8.2775e-01,106.9,3.00827814569536,1.19944703682912,1.62204466388126,3.17184978336998,0.350603817686015,0.224565326185512,1.28455904219668,1.78038554471233,555,211.764705882353,104.005131247231,1.6417947150069,2.89033431958455
9.37e-02,8.6239e-01,104.4,2.17384105960265,1.01213390793197,1.58279809728395,3.00157966975709,0.183774834437087,0.199605757128439,1.55832932687102,2.85649168215365,429,111,43.1373027756292,1.58278504019865,2.89096921894258
2.55e-01,7.5651e-01,108.1,2.53476821192053,1.09201638298671,1.59641433273652,3.05430788984449,0.277182926150593,0.216334752060824,1.33550855158832,1.99115651718527,502,167.418487394958,72.6482349735412,1.42048032451782,2.2801982200505
1.16e-01,8.4357e-01,39.4,2.80629139072848,1.17107530588134,1.65321607240917,3.33022677438686,0.319728421169793,0.207889699485337,1.34569093731164,1.98182419009207,531,193.115966386555,107.668109697881,1.48579502831645,2.39943679681389
6.36e-02,9.0815e-01,73.3,2.11258278145695,0.929950837962968,1.55050717199094,2.83486049079937,0.255061494796595,0.227837469257278,1.27221639806615,1.82883261116658,431,154.057142857143,75.710062352481,1.39737284172494,2.17560473068547
4.25e-01,7.5554e-01,217.0,2.92549668874172,1.12294503338422,1.66632187844149,3.39594178955837,0.453105348099505,0.212937483293471,1.55954882011099,2.75960124551298,554,273.675630252101,147.275779707555,1.23212835939764,1.61265908098062
2.41e-01,7.7732e-01,39.8,1.47019867549669,0.664202424860295,1.67011408198926,3.81934692339481,0.109933774834437,0.181434884777792,1.76786462622028,3.79397962605807,230,66.4,28.0340369353177,1.71926932053721,3.30381162304817
8.67e-02,8.8000e-01,7.6,1.05298013245033,0.223993834772022,4.02308165138448,16.9590219067834,0.0144637987645389,0.071097536806615,5.4294651766938,32.4623684032047,32,8.73613445378151,5.86623626482051,1.25782695613235,1.70064498048881
9.21e-02,8.8819e-01,31.6,2.01655629139073,0.927713879131526,1.64184034107125,3.41820354855563,0.208753965162225,0.219577622533743,1.2583830373346,1.72600786216123,403,126.087394957983,84.701864250437,1.0864424367399,1.21164922560233
2.65e-01,7.6327e-01,136.3,2.56953642384106,1.12473651822472,1.57401951173573,2.98467384036751,0.329926540152484,0.24781875710396,1.18903849200597,1.49734647800768,492,199.275630252101,101.133432092398,1.26768904408666,1.76503845104509
1.87e-01,8.1679e-01,29.0,1.5612582781457,0.707964907870328,1.66484605362856,3.78583904978976,0.0918303745339194,0.150128980467839,2.1200199733336,5.61152968665468,271,55.4655462184874,25.927242857285,1.5960901849277,2.81673079512837
4.01e-01,7.2620e-01,179.4,3.02152317880795,1.24533580053143,1.63398250761447,3.18505737969745,0.414536145584061,0.239772280756546,1.32376340384676,1.89519110263351,541,250.379831932773,115.033996859994,1.41963748627552,2.31391574156805
1.65e-01,7.9794e-01,89.0,2.37417218543046,1.04011993552953,1.56194425330552,2.89078506094822,0.247868551394068,0.215574650351521,1.32870031297411,1.92833922355638,475,149.712605042017,81.938631016619,1.30076700582189,1.8238777161447
3.66e-01,8.2285e-01,104.9,1.91390728476821,0.866525354550792,1.6272533671998,3.46189100263814,0.206238521898827,0.222585822275305,1.26118673164393,1.79332537419817,382,124.568067226891,57.3462429923706,1.45752235635597,2.31137727366476
1.53e-01,8.4630e-01,178.9,2.31456953642384,1.04392898638193,1.64089662982501,3.45729898435612,0.299752351271635,0.226906852236902,1.24281767184857,1.62457619318667,461,181.050420168067,111.073088870581,1.23134276773729,1.56956176855241
1.16e-01,8.7710e-01,122.5,1.82781456953642,0.851656659078814,1.59046616861669,3.21490763450172,0.159777950915466,0.191149957485706,1.45892014255164,2.57345878625827,351,96.5058823529412,53.8308076081984,1.19472768458191,1.52940776623281
3.49e-01,7.1653e-01,182.7,3.19370860927152,1.21001347258333,1.56298346822396,2.84805667415479,0.418773999666091,0.223109093673732,1.34546857998148,1.98177364526064,564,252.939495798319,109.5923525352,1.61606079971973,2.94150502328658
2.08e-01,7.6513e-01,58.8,2.44039735099338,1.1326391152044,1.55720485256313,2.90752657895447,0.269733986309756,0.231020199867407,1.27835287586371,1.79765252748225,468,162.919327731092,60.2631781010774,1.73514561404387,3.56131171576856
6.42e-01,7.3539e-01,208.8,3.01655629139073,1.25534251485909,1.62556406909188,3.17439151058524,0.410843675218431,0.233920503443223,1.34319745043059,1.9376594316741,554,248.149579831933,89.6431551928685,1.71523569678045,3.55919698989232
2.82e-01,8.5491e-01,188.4,2.29304635761589,0.955232015349667,1.64040201555591,3.33697397444175,0.276448327675442,0.199811033784486,1.44515751330963,2.28665233034643,480,166.974789915966,120.198132103167,1.39132509125004,2.15216554224289
1.04e-01,9.3182e-01,210.2,2.38079470198675,0.988692040642689,1.67412814174495,3.38086960004199,0.299635483332405,0.191549580444888,1.42005360131191,2.16998118738905,501,180.979831932773,150.989730620705,1.21302725759792,1.57146212153383
9.62e-02,8.9123e-01,53.6,1.6523178807947,0.766633168802457,1.74001686668688,4.19984082547693,0.122588903110913,0.167578925772841,1.63818264864066,3.26240500817678,303,74.0436974789916,54.7747237276272,1.18199490337414,1.54085914121392
4.55e-01,7.1410e-01,142.7,2.55132450331126,1.07915908855285,1.45962148873918,2.46009877229872,0.311458623184373,0.228392219806809,1.28045531763174,1.73962800008088,496,188.121008403361,66.4699500867072,1.72255060794221,3.48335500495459
4.19e-01,7.5326e-01,166.1,2.53807947019868,1.06891987026565,1.5364633874833,2.76094268534115,0.305178362735823,0.219310758089692,1.28063122427628,1.74893994865212,501,184.327731092437,84.5976646322971,1.5121489886955,2.53575817795058
2.41e-01,7.8799e-01,49.5,1.41225165562914,0.61755410754224,1.69799997606201,3.99397191292412,0.0814013022427513,0.152493695393602,2.16148160390346,5.68453292725853,209,49.1663865546219,23.6618519960756,1.34129083440909,2.00786183449443
1.09e-01,8.6779e-01,71.5,2.20198675496689,0.977696319180861,1.5926536793604,3.01411332230846,0.233340753519952,0.200961139009849,1.39972135066288,2.23103569681399,449,140.93781512605,90.4519994265927,1.25347944908385,1.633564217131
3.14e-01,7.3242e-01,75.0,2.47019867549669,1.10122115853186,1.60347499618644,3.17920982696483,0.287066614725361,0.224039138720193,1.31011479472194,1.86772788206283,485,173.388235294118,72.1539590817547,1.37602213442328,2.17855584482848
5.53e-02,9.1218e-01,46.4,2.1887417218543,1.03136526544956,1.60291602569018,3.20976480791385,0.210142467583061,0.205522908988371,1.42006360280953,2.31080783190166,428,126.926050420168,56.7835155718924,1.74694385926528,3.30944981717979
7.12e-02,9.0110e-01,40.1,1.79635761589404,0.83184943830294,1.67390613007007,3.62074986092066,0.117062719127386,0.145747458176121,1.75266820478866,3.85131343654078,349,70.7058823529412,35.0635804115934,1.45157137860108,2.24246017314734
1.52e-01,8.1216e-01,64.2,1.80132450331126,0.86522107996405,1.76907047485642,4.77125378439733,0.179856975902944,0.203622036090555,1.36900407891162,2.19803151176953,339,108.633613445378,54.9482281579608,1.44809585181052,2.24308486441114
5.52e-01,7.3347e-01,145.7,2.43377483443709,1.13373247584424,1.53309337808947,2.76653784736491,0.308319884245089,0.241968565966931,1.24954384723136,1.6608720473694,469,186.225210084034,66.3709947513489,1.74089584672071,3.63933638924672
2.22e-01,7.8225e-01,58.7,1.56456953642384,0.739699451316053,1.78886315047942,4.49369133779066,0.131779731760254,0.188824822264915,1.57524890797693,3.04027187977292,265,79.5949579831933,34.3303130592503,1.60197235743222,2.93800922476813
2.55e-01,7.9956e-01,105.5,2.2682119205298,0.998798673170311,1.67135966523916,3.47149017807752,0.270154154376983,0.227288250782699,1.28522174740565,1.79964135432503,468,163.173109243697,62.976335021066,1.75114396395852,3.55493543477337
1.89e-01,7.8516e-01,113.5,2.94701986754967,1.18789746625446,1.59947028064731,3.0891768902645,0.304869497467862,0.210753617520934,1.3018208599341,1.85511998756217,540,184.141176470588,89.5422170857564,1.4405172842351,2.32606971616591
4.16e-01,7.8342e-01,187.1,2.40066225165563,1.04615326196282,1.56931716264636,2.96694833744572,0.311213757025989,0.238423829104803,1.13427876638764,1.35819104253169,485,187.973109243697,123.351200256091,1.15117804814764,1.37084640619621
1.40e-01,8.2418e-01,89.2,2.00827814569536,0.951609484702992,1.62785960119677,3.28615878471886,0.161681228782905,0.176293882892297,1.54742253900914,2.8930190996923,395,97.655462184874,57.3717110296273,1.26809574738203,1.70392283322784
5.62e-01,7.4049e-01,163.7,2.43046357615894,1.06267146664635,1.55282307893738,2.92281897475701,0.334796037620346,0.242620817066008,1.24868638998475,1.64857747671986,481,202.216806722689,83.9064207830755,1.49543523578377,2.63143178875387
3.19e-01,7.8625e-01,201.1,3.0182119205298,1.14133626000445,1.54351579134071,2.73794660592175,0.39075908509099,0.199030755088662,1.45250368952471,2.32907970495004,562,236.018487394958,113.98574875273,1.48796687488765,2.44067813436568
3.72e-01,7.4136e-01,101.3,2.0182119205298,0.953209695345998,1.68445463708642,3.63826965757736,0.234142133674662,0.225865197163852,1.26610439238185,1.80972240206957,400,141.421848739496,58.2949197948937,1.59132711187464,2.93151271665632
3.72e-01,7.7086e-01,158.3,2.54801324503311,1.08999636664292,1.63562939677576,3.27907867554419,0.384932383549447,0.240235126075858,1.28917749568604,1.78207679373714,510,232.499159663866,123.046515421108,1.34877664170061,2.01459285026455
2.73e-01,7.6017e-01,137.0,2.18543046357616,0.994381391179938,1.56273949830146,2.90410646574971,0.258670488062776,0.226376139180692,1.25039553588723,1.71197616496997,436,156.236974789916,60.9589693465144,1.6754889049463,3.30615599929975
4.52e-01,7.1789e-01,152.2,2.7682119205298,1.15485562074164,1.59440173870759,3.10885078853569,0.37481217652624,0.240481016894363,1.24780100724023,1.65752959098198,528,226.386554621849,98.788740661103,1.41368593172733,2.36268246108365
7.75e-02,9.2336e-01,33.9,2.00662251655629,0.845687844511157,1.52663109340982,2.66860736745163,0.265646391006734,0.228089001402286,1.14193455189595,1.37856232720601,420,160.450420168067,116.413803272037,1.07694855302525,1.19269569802351
1.01e-01,8.7035e-01,81.6,1.64900662251656,0.738700088769586,1.67221258543104,3.82852057521012,0.135847849073404,0.181261374258147,1.60920650692282,3.24118519507227,309,82.0521008403361,48.9399114482368,1.19215331268505,1.50985244560301
8.77e-02,8.9232e-01,70.5,1.99668874172185,0.900692685500616,1.62261110195149,3.21084814385467,0.242957315376482,0.241016520162775,1.19203376637489,1.52422380987792,405,146.746218487395,81.5048864750673,1.27253535542426,1.77440632033781
2.61e-01,7.5545e-01,109.9,2.84933774834437,1.16324060301194,1.56194874794188,2.84726196002205,0.416264121542657,0.237450251253229,1.35398944764084,1.98004765000243,538,251.423529411765,115.17344808525,1.54911499008972,2.73314641918029
1.65e-01,8.1004e-01,96.5,3.22516556291391,1.21890291259693,1.6188820941571,3.09782869253916,0.50445767711058,0.225606334584644,1.58674096443655,2.8805054760636,564,304.69243697479,152.440894819562,1.39380387021785,2.21586054792764
1.67e-01,8.2515e-01,61.1,1.95033112582781,0.908486418431722,1.65180206300483,3.39610288666631,0.206461127497357,0.215025717232162,1.34172854792519,2.08490531450741,387,124.702521008403,61.6807768185408,1.48073438436911,2.40953416522611
9.12e-02,8.8556e-01,60.6,1.49006622516556,0.66230132264087,1.70055165340388,4.09468069526967,0.0929684456564081,0.15862476194077,2.08524631773774,5.20884823100503,245,56.1529411764706,31.4615166380231,1.52294302352444,2.61746396274801
2.31e-01,8.0643e-01,92.5,2.05794701986755,0.942881884887357,1.52222401650673,2.69600130257663,0.26046524570093,0.237769387956209,1.22228949965595,1.61003987542959,409,157.321008403361,80.6268058870904,1.41521417212649,2.18201221739992
5.19e-01,7.0673e-01,162.9,2.75993377483444,1.24764042020559,1.63674094788175,3.27739280712592,0.345929100116868,0.239629979143365,1.26211803058251,1.69440617091323,512,208.941176470588,81.8311742406738,1.75713579880281,3.54760132250282
3.87e-01,7.4040e-01,37.7,1.3294701986755,0.560031087215975,1.84166915480983,4.7232711233126,0.0766959764038065,0.155947056951333,2.23239605872352,5.92447205004417,172,46.3243697478992,19.977398853177,1.51664176101185,2.58578131502084
2.07e-01,8.3662e-01,131.2,1.80132450331126,0.784956805237288,1.60309913689383,3.2070850435809,0.203706383215539,0.212877268609476,1.24783641390306,1.71168605796427,364,123.038655462185,76.7963159012679,1.28583924755371,1.73496292361859
4.40e-02,9.3075e-01,27.8,1.48841059602649,0.667255516369957,1.63792363565033,3.66597791048905,0.139145194501642,0.207458733917823,1.4869927905723,2.60236219712437,240,84.0436974789916,50.1555373060952,1.15751807087158,1.42406258008645
1.39e-01,8.3685e-01,49.6,1.58940397350993,0.746040525671681,1.68323133838143,3.90986236386584,0.119119038343814,0.17944635043865,1.77688101993589,3.85525181365644,273,71.9478991596639,30.5602417847014,1.51319403693976,2.67288656659429
5.01e-02,9.3371e-01,12.9,2.24668874172185,0.956195705711753,1.57020207525795,2.88783470829427,0.339114586231844,0.247326996526685,1.14988309930451,1.39529947234438,467,204.825210084034,152.750743423895,1.03701217194531,1.10070479906046
1.51e-01,8.4074e-01,42.6,1.28973509933775,0.492150904305878,1.67710386306192,3.84866374041073,0.0812733040235961,0.161996555548881,2.04260374666898,4.97402044010384,164,49.0890756302521,25.4907555822487,1.40244915831919,2.16602711124486
1.94e-01,7.9967e-01,80.4,2.52317880794702,1.12517511270596,1.61035295706513,3.24057911525611,0.346864043630697,0.243367001154528,1.25490427989333,1.66439437721407,487,209.505882352941,104.84402764805,1.29466979309112,1.85778565324647
8.23e-02,9.1443e-01,15.0,1.15066225165563,0.362318086575637,2.18308731181809,5.60801006433185,0.0299014970226501,0.0989928928455574,3.917661220686,17.1605675731947,90,18.0605042016807,12.1280161698593,1.44061932400109,2.47050006754492
1.96e-01,8.1053e-01,96.1,1.99834437086093,0.866023821203637,1.67338779585381,3.56993470722592,0.236012020702321,0.227931870517238,1.22974640113909,1.65213832083944,417,142.551260504202,64.5823971978657,1.4384865773949,2.36271585994467
1.77e-01,8.4576e-01,102.3,1.84602649006623,0.863805364597574,1.57195338930589,3.04745398277312,0.186610273248373,0.198152625796706,1.2959468067966,1.9294441265109,355,112.712605042017,67.4397067223278,1.24184847994157,1.63095502815311
3.61e-02,9.4401e-01,17.8,1.19205298013245,0.418373257538732,2.1243634212784,5.90509894663335,0.0489593188268685,0.123221120879982,2.78370939595343,9.28480424121146,110,29.5714285714286,16.967577301188,1.38902981359792,2.06298058598144
2.85e-02,9.5293e-01,44.4,2.62086092715232,1.03752216310635,1.615433640042,3.16637822804296,0.353820468584785,0.198925504743304,1.53433215459299,2.50781282526358,536,213.70756302521,149.816992652164,1.23735151371343,1.60441909655525
3.52e-01,7.9507e-01,123.9,1.91556291390728,0.890246736957994,1.69338643655262,3.74303635268083,0.231017307585287,0.232341589654482,1.14055843824907,1.40521265118199,380,139.534453781513,82.6721178211723,1.21470159858541,1.55597301563155
1.22e-01,8.3919e-01,31.9,2.8294701986755,1.14179728665551,1.52890755805485,2.70351485133217,0.351257721631699,0.217006253288957,1.3635432693141,1.99742519786218,541,212.159663865546,110.933849862272,1.36477264105124,2.00841287106659
1.93e-01,8.0856e-01,41.9,1.41556291390728,0.631268181967868,1.78271690551923,4.49636331797847,0.0796427180143579,0.146773521686246,2.13820088507954,5.63701137632115,208,48.1042016806723,24.6937388551916,1.45065629559549,2.32995405153481
2.54e-01,7.7679e-01,72.5,1.82450331125828,0.892757235634139,1.69043646584701,3.65028856665561,0.166283599532529,0.199223168348084,1.49817557503037,2.71040742013895,343,100.435294117647,37.4628164967809,1.70913699295772,3.36918321889546
2.17e-01,7.8075e-01,32.8,1.44701986754967,0.639878708189831,1.67286811167356,3.87972074733125,0.0822472035171683,0.150579337162344,2.24149176376258,6.19147496114679,224,49.6773109243697,23.5222063397165,1.80872544331045,3.57405379671796
2.42e-01,7.8654e-01,98.7,1.87251655629139,0.854655903450064,1.57044529062666,3.01526872266525,0.189879792976794,0.208628591006296,1.37990005302006,2.18090246127148,369,114.687394957983,44.0335215214898,1.70076579267245,3.36709658716792
1.50e-01,8.5310e-01,161.2,2.03145695364238,0.863538766813274,1.59605141388876,3.22190247759028,0.275969725638601,0.233591978141746,1.23951441514783,1.65126099590478,423,166.685714285714,96.5363364215769,1.2401754359957,1.62495136026926
2.81e-01,8.0440e-01,132.6,1.93543046357616,0.873147791818051,1.61108088247693,3.18420751519163,0.238674940174746,0.23734474987983,1.14534383157409,1.40183570235043,390,144.159663865546,85.8699606247851,1.1996603076165,1.52758770448601
4.66e-01,7.1823e-01,182.2,2.98509933774834,1.26259606810397,1.66759121493457,3.39056280818797,0.366581334520564,0.235765092024292,1.28694418889407,1.76747720265257,545,221.41512605042,81.4393052737529,1.74071847994902,3.56098306043956
1.14e-01,8.5282e-01,76.2,2.29966887417219,1.05224447416085,1.69724649009359,3.81675654553197,0.23061383493795,0.197151952590533,1.47971203673997,2.52304624822211,460,139.290756302521,81.7906807697096,1.38325513118297,2.03814289650915
2.35e-01,7.9008e-01,83.5,1.97185430463576,0.954703867941052,1.70735389056194,3.60196101189368,0.235010295508933,0.235952434990653,1.26624006563501,1.79912867058878,387,141.946218487395,65.7147423311523,1.47775421881747,2.53528483264087
3.46e-01,7.1577e-01,143.4,2.8841059602649,1.20970647828589,1.56041050195423,2.85726847052416,0.382617285324726,0.226750368882514,1.37241077360747,2.02098549144403,530,231.100840336134,98.9898556009598,1.49126207804853,2.50202461198043
2.65e-01,7.6734e-01,120.9,2.36092715231788,1.05425492411672,1.64128419758593,3.36257927672645,0.304783237798431,0.234234421159943,1.25205894039692,1.65327378289093,469,184.089075630252,87.6567242670497,1.58316606041617,2.71218549100923
4.23e-01,7.4762e-01,202.9,2.97019867549669,1.25641636400253,1.56252415276928,2.87810611755104,0.399963826590239,0.243682401987248,1.29636342721187,1.79328308375722,537,241.578151260504,96.264421518875,1.61436656593731,3.07754778386292
1.66e-01,8.0125e-01,153.3,2.80132450331126,1.19612989366213,1.60758073612891,3.13925728218747,0.415098224720352,0.251174488843545,1.30300427924358,1.83005548804416,518,250.719327731092,123.304760979535,1.35144473223584,2.06508093720965
0.00e+00,1.0000e+00,7.9,1.16721854304636,0.394731292525105,2.31118954778333,6.87073127595439,0.0275168345483889,0.0816406227505402,3.92455622706387,19.2188563566835,96,16.6201680672269,8.15111045517269,1.35669925666435,2.10225539775782
4.45e-01,7.1332e-01,108.0,2.04304635761589,0.994089149051316,1.71698491145189,3.65240525522623,0.253400300517559,0.238476075036757,1.24098751540494,1.67757804506739,403,153.053781512605,63.0194618331018,1.56984138710964,2.84092808127206
5.49e-01,6.8654e-01,243.0,3.47185430463576,1.29218327692203,1.65376947799397,3.39378022581012,0.499565919082865,0.209537970364152,1.58713435510438,2.89683307374265,579,301.73781512605,112.027960939228,1.79390616906286,3.8215294120971
4.34e-01,7.2221e-01,95.3,2.08774834437086,0.926387752399216,1.67548914207216,3.48701438018896,0.264563971283879,0.232945922989817,1.23291611935734,1.64756820389628,432,159.796638655462,64.7988794549514,1.58622607524583,2.97870293481814
